9,"Latitude","Longitude","Date","Year","Militant Leaders Killed","militant_deaths_min","militant_deaths_max","civilian_deaths_min","civilian_deaths_max","deaths_min","deaths_max","Assumed Target","Source One","Source One link","Source Two","Source Two Link","Source Three","Source Three Link","Notes"
"Machi Khel, 20km west of Miram Shah, North Waziristan",33.077160,70.069427,"December 31, 2009",2009,"Haji Omar, key Taliban commander in Mir Ali",2,5," ",,2,5,"Compound of a local tribesman, Karim Khan (Officials suggested some of the dead were al Qaeda fighters)","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5hob3b1MoWI6iNc0L3gcVwvgkZ3nA","CNN","http://edition.cnn.com/2010/WORLD/asiapcf/January January pakistan.drone/","New York Times","http://www.nytimes.com/2010/January 02/world/asia/02pstan.html",
"Ghundikala village, 15 km east of Miram Shah in tehsil Mir Ali, North Waziristan",33.009815,69.808502,"January January 2010",2010,"unknown",2,3," ",,2,3,"A car carrying the militants (UNCLEAR)","Reuters","http://ca.reuters.com/article/topNews/idCATRE5BU2KP20100101","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/07-drone-strike-kills-three-militants-in-n-waziristan-ha-04","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5hob3b1MoWI6iNc0L3gcVwvgkZ3nA",
"Mosakki village, 25 km east of Miram Shah, in Mir Ali tehsil, North Waziristan",32.994267,70.207443,"January 3, 2010",2010,"unknown",2,5," ",,2,5,"use of well-known tribesman, Sadiq Noor in Mir Ali (UNCLEAR)","GeoTV","http://geo.tv/1-3-2010/56143.htm","Agence France Press","http://news.yahoo.com/s/afp/20100103/wl_sthasia_afp/pakistanusunrestmissile","AP","http://news.yahoo.com/s/ap/20100103/ap_on_re_as/as_pakistan",
"Ismail Khel village, in Datta Khel region, North Waziristan",33.003483,70.015182,"January 10, 2010",2010,"unknown",2,5," ",,2,5,"A militant training compound affiliated with Hafiz Gul Bahadur (TALIBAN)","AP","http://news.yahoo.com/s/ap/20100109/ap_on_re_as/as_pakistan_missile_strike","Agence France Press","http://news.yahoo.com/s/afp/20100109/wl_sthasia_afp/pakistanunrestnorthwestmissile","CNN","http://www.cnn.com/2010/WORLD/asiapcf/January 09/pakistan.drone.strike/",
"Tabi Tolkhel, 3 miles from Khost border OR Tapi, 9 miles east of Miram Shah",32.987354,70.280914,"February 17, 2010",2010,"Sheikh Mansoor",2,4," ",,2,4,"taliban compound","Reuters","http://uk.reuters.com/article/idUKSGE61G050._CH_.2420"">Reuters","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5g2OJAO7roJL5wN1cFIOwnOffdkTA","GeoTV","http://geo.tv/2-17-2010/59452.htm",
"Khaddi village, nine miles east of Miram Shah, North Waziristan",32.292938,69.304504,"June 10, 2010",2010,"unknown",2,3," ",,2,3,"Compound used by militants (UNCLEAR)","AP","http://news.yahoo.com/s/ap/20100610/ap_on_re_as/as_pakistan","Agence France Press","http://news.yahoo.com/s/afp/20100610/pl_afp/pakistanunrestusmissile","Reuters","http://www.reuters.com/article/idUSTRE6593WR20100610",
"Khushali Khel, Mir Ali, North Waziristan",32.981022,70.293274,"June 26, 2010",2010,"unknown",2,4," ",,2,4,"House of Hameedullah; Hafiz Gul Bahadur-linked house (TALIBAN)","Daily Times of Pakistan","http://www.dailytimes.com.pk/default.asp?page=2010%5C06%5C27%5Cstory_27-6-2010_pg7_4","Tribune","http://tribune.com.pk/story/24125/drone-strike-kills-four-in-north-waziristan/","AP","http://www.google.com/hostednews/ap/article/ALeqM5hkiMxbHNH0BqgpWA2ZG6VD6wVTmAD9GJMU980",
"Toorikhel, Mir Ali, North Waziristan",32.984333,70.256622,"May 14, 2005",2005,"Haitham al-Yemeni",1,1,0,,1,1,"Haitham al-Yemeni","Washington Post","http://www.washingtonpost.com/wp-dyn/articles/A60743-2005May15.html","CNN","http://www.cnn.com/2005/WORLD/asiapcf/05/13/alqaeda.killing/index.html",,,
"Makeen, South Waziristan",34.809856,71.531296,"June 14, 2008",2008,"none",0,,1,1,1,1,"Baitullah Mehsud","GeoTV","http://www.geo.tv/6-15-2008/19301.htm",,,,,
"Chenagai, six miles north of Khar, Bajaur",34.801682,71.472588,"October 30, 2006",2006,"unknown",0,80," ",,0,80,"house of a taliban commander who harbored al Qaeda fighters","BBC","http://news.bbc.co.uk/2/hi/south_asia/6097636.stm","Reuters Alertnet","http://www.alertnet.org/thenews/newsdesk/ISL72506.htm",,,
"Danda Darpa Khel, outside Miramshah, North Waziristan",32.540447,69.854507,"October 22, 2008",2008,"unknown"," ",,,,0,0,"Jalaluddin Haqqani, head of the Taliban in North Waziristan, is based near Miramshah","Reuters","http://www.reuters.com/article/worldNews/idUSTRE49L80720081022",,,,,
"Karikot and Shin Warsak near Wana, South Waziristan",32.983322,70.087280,"December 22, 2008",2008,"unknown"," ",," ",,0,0,"Wana region is a stronghold of Mullah Nazir, a Taliban chieftain and rival of Pakistani Taliban leader Baitullah Mehsud","Times of India","http://timesofindia.indiatimes.com/World/At_least_eight_dead_in_Pakistan_missile_strike_Officials/articleshow/3873278.cms","Long War Journal","http://www.longwarjournal.org/archives/2008/12/us_strikes_in_two_vi.php",,,
"Karikot, near Wana, South Waziristan",32.539288,69.875793,"January January 2009",2009,"Osama al Kini and Sheikh Ahmed Salim Swedan, plus two unknown"," ",," ",,0,0,"Osama al Kini and Sheikh Ahmed Salin Swedan; Mullah Nazir, Baitullah Mehsud’s rival","Washington Post","http://www.washingtonpost.com/wp-dyn/content/article/2009/January 08/AR2009010803110.html","New York Times","http://www.nytimes.com/2009/January 09/world/asia/09pstan.html","The Nation (Pakistan)","http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/01-Jan-2009/5-killed-in-South-Waziristan-as-US-drone-fired-3-missiles-in-Karikot-officials",
"Raghzai area, near Wana, South Waziristan",32.288876,69.608688,"June 18, 2009",2009,"unknown"," ",,,,0,0,"Malang Wazir, local Taliban commander","GeoTV","http://www.geo.tv/6-18-2009/44382.htm","Al Jazeera","http://english.aljazeera.net/news/asia/2009/06/200961875855867303.html","New York Times","http://www.nytimes.com/2009/06/19/world/asia/19pstan.html?_r=2&amp;ref=world",
"Mantoi area, South Waziristan",32.622604,69.852448,"July 3, 2009",2009,"none",0,,0,,0,0,"Baitullah Mehsud (BM)","GeoTV","http://www.geo.tv/7-3-2009/45289.htm","Long War Journal","http://www.longwarjournal.org/archives/2009/07/13_taliban_fighters.php",,,
