9,"Latitude","Longitude","Date","Year","Militant Leaders Killed","militant_deaths_min","militant_deaths_max","civilian_deaths_min","civilian_deaths_max","deaths_min","deaths_max","Assumed Target","Source One","Source One link","Source Two","Source Two Link","Source Three","Source Three Link","Notes"
"Shaktoi village in the Pasalkot region of North Waziristan",32.991962,69.730911,"January 14, 2010",2010,"Abdul Basit Usman",10,18," ",,10,18,"Hakimullah Mehsud (Taliban)","New York Times","http://www.nytimes.com/2010/January 15/world/asia/15pstan.html?ref=world","AP","http://news.yahoo.com/s/ap/20100114/ap_on_re_as/as_pakistan","Agence France Press","http://news.yahoo.com/s/afp/20100114/ts_afp/pakistanunrestustaliban",
"Gorwek, near Afghan border, North Waziristan",32.995995,69.704819,"May 11, 2010",2010,"unknown",10,10," ",,10,10,"Compound used by militants (UNCLEAR)","Reuters","http://www.reuters.com/article/idUSTRE6480DY20100511","AP","http://news.yahoo.com/s/ap/20100511/ap_on_re_as/as_pakistan","GeoTV","http://geo.tv/5-11-2010/64728.htm",
"Bhagar, 22 miles west of Wana, South Waziristan",32.288296,69.439774,"August 13, 2008",2008,"Abdul Rehman",9,25," ",,9,25,"Abdul Rehman, Taliban commander","GeoTV","http://www.geo.tv/8-13-2008/22577.htm","Reuters","http://www.reuters.com/article/idUSSP214742","Long War Jounral","http://www.longwarjournal.org/archives/2008/08/crossborder_strike_t.php",
"Tati;20km east of Miram Shah, North Waziristan",32.998299,69.723358,"October 9, 2008",2008,"unknown",6,6,3,3,9,9,"Faisal Mohammad Sultan, a tribesman sympathetic to the militants cause; or house of local Taliban commander, Hafiz Sahar Gul","Reuters","http://www.reuters.com/article/newsOne/idUSTRE4986NO20081009","The News","http://www.thenews.com.pk/updates.asp?id=57380",,,
"Shah Alam, Birmal, near Wana, South Waziristan",32.524815,69.883347,"June 18, 2009",2009,"unknown",9,9,0,4,9,13,"Maulavi Nazir (TALIBAN)","BBC","http://news.bbc.co.uk/2/hi/south_asia/8106686.stm","Al Jazeera","http://english.aljazeera.net/news/asia/2009/06/200961875855867303.html","CNN","face=""Times New Roman"">, </FONT></SPAN><A href=""http://edition.cnn.com/2009/WORLD/asiapcf/06/18/pakistan.drone.attack",
"Darpa Khel, outside Miram Shah, North Waziristan",32.524239,69.794769,"August 21, 2009",2009,"unknown"," ",,9,21,9,21,"Haqqani network","Reuters","http://www.reuters.com/article/worldNews/idUSTRE57J6WM20090820","GeoTV","http://geo.tv/8-21-2009/47978.htm","AP","http://www.google.com/hostednews/ap/article/ALeqM5hkiMxbHNH0BqgpWA2ZG6VD6wVTmAD9A76K501",
"Inzarkas village, Datta Khel, North Waziristan",32.990234,70.315933,"May 9, 2010",2010,"unknown",9,10,0,1,9,11,"Militant compound (UNCLEAR)","Reuters","http://www.reuters.com/article/idUSTRE6480DY20100509","AP","http://news.yahoo.com/s/ap/20100509/ap_on_re_as/as_pakistan","Agence France Press","http://news.yahoo.com/s/afp/20100509/wl_asia_afp/pakistanunrest",
"Salamat Keley, Zamazola, 60km north of Wana, South Waziristan",33.016724,70.079041,"January 16, 2007",2007,"none",8,30," ",,8,30,"Al Qaeda and Taliban camp","Reuters Alertnet","http://www.alertnet.org/thenews/newsdesk/SP307520.htm","BBC","http://news.bbc.co.uk/2/hi/south_asia/6280153.stm","Washington Post","http://www.washingtonpost.com/wp-dyn/content/article/2007/January 15/AR2007011501358_pf.html","(some sources say this strike was operated by the Pakistani military; a resident told Reuters he saw a drone)"
"Wana, South Waziristan",32.311508,69.320984,"August 20, 2008",2008,"none",,,8,8,8,8,"House of Haji Yaqub, al Qaeda militant sympathizer; Mullah Nazir, Taliban rival of Baitullah Mehsud","Agence France Press","http://afp.google.com/article/ALeqM5grLj6xRsGSHp7FJtyLelxa6i3omA",,,,,
"Dilfaraz or Ghangi Khel, near Wana, South Waziristan",32.953369,70.262375,"January 23, 2009",2009,"none",,,8,10,8,10,"Gangi Khel in South Waziristan is located in the tribal areas commanded by Mullah Nazir, a Taliban chieftain and rival of Pakistani Taliban leader Baitullah Mehsud.","Washington Post","http://www.washingtonpost.com/wp-dyn/content/article/2009/January 23/AR2009012304189.html","GeoTV","http://geo.tv/1-23-2009/33388.htm","Long War Jounral","http://www.longwarjournal.org/archives/2009/January us_strikes_al_qaeda.php",
